gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
PRAMEF4,1775,0.015337453032676057,0.0,0.0028169014084507044,0.0011267605633802818
AKTIP,1775,4.266263621014084,4.3031087,0.9994366197183099,0.923943661971831
KCTD7,1775,2.7109314830704228,2.7436075,0.9735211267605633,0.38422535211267606
RANBP10,1775,3.132762571661972,3.144146,0.9988732394366198,0.5915492957746479
FBXO3,1775,4.258691567943662,4.2891927,1.0,0.9622535211267605
RNF212B,1775,0.0363672991228169,0.0,0.0011267605633802818,0.0
RFPL1,1775,0.07767682037971832,0.0,0.008450704225352112,0.0
RNF135,1775,3.2483574761915492,3.5532622,0.9047887323943662,0.7183098591549296
DCAF12,1775,4.615930118422535,4.5708637,1.0,0.9864788732394366
COMMD6,1775,6.809256135887324,6.8273234,1.0,1.0
ASB11,1775,0.09563085424901409,0.0,0.023098591549295774,0.008450704225352112
KCTD3,1775,4.852802999286197,4.9367557,0.9853521126760564,0.9616901408450704
KLHL40,1775,0.026489977053521126,0.0,0.009014084507042254,0.0022535211267605635
CAND2,1775,0.9542428409459156,0.5072324,0.37408450704225354,0.0552112676056338
DAZAP2,1775,7.284159204394366,7.315376,1.0,1.0
FBXW4,1775,4.060479162125634,4.112859,0.9960563380281691,0.9312676056338028
RABGGTB,1775,6.892050525239436,6.9135356,1.0,1.0
CUL4A,1775,5.472467808788733,5.504102,1.0,0.9994366197183099
DDB1,1775,7.114398879830986,7.1558704,1.0,1.0
SOCS5,1775,3.5220685381380283,3.416325,0.9983098591549295,0.7340845070422535
ABL1,1775,4.489933115774647,4.5351696,1.0,0.9661971830985916
TULP4,1775,2.918763154749296,2.9309626,0.9870422535211267,0.4676056338028169
PJA2,1775,5.275524226681689,5.3211308,0.9988732394366198,0.9904225352112676
SEC13,1775,6.649432681971831,6.6277924,1.0,1.0
CLU,1775,5.866159857338592,6.3091617,0.9261971830985916,0.8084507042253521
SKP2,1775,4.857207448394366,4.7967896,1.0,0.9622535211267605
RNF4,1775,5.428663789577465,5.475497,1.0,0.9977464788732394
FBXL7,1775,1.2927438777904223,0.1710018,0.4169014084507042,0.20450704225352112
HDAC6,1775,4.7047691703661965,4.70998,1.0,0.9814084507042253
PRAMEF19,1775,0.005398574170140845,0.0,0.0011267605633802818,0.0
ANKRD9,1775,2.903086523597183,2.9780548,0.9459154929577465,0.48619718309859156
ASB14,1775,0.33068654377014084,0.27846655,0.02028169014084507,0.0
KCTD11,1775,2.7164873240816902,2.7379637,0.9408450704225352,0.40788732394366195
TRIM42,1775,0.008309391189859155,0.0,0.0022535211267605635,0.0
RANBP9,1775,5.111817840338028,5.141171,1.0,0.9966197183098592
